job_title,location,salary,company,job_desc
Intelligence Analyst,Melbourne VIC,"$84,019 - $95,392 a year",Victoria Police,"
,
,
,
,
To be successful, candidates will need skills in development of intelligence assessments and other products, as well as good communication and teamwork skills to aid in intelligence development and the force-wide response to critical incidents. The preferred candidate will hold relevant qualifications and have experience in providing intelligence services in a law enforcement setting. Strong capabilities in data analytics, statistics and use of contemporary IT analytics and visualisation tools would be highly regarded.
,
,
,
Please see role statement and position description for further details and relevant information.
,
,
,
Applications close midnight, Sunday 19th May 2019 - No applications will be accepted via email.
, Chris Bell (03) 9450-9779 or via email Chris.bell@police.vic.gov.au
,To apply, please click on the ‘Apply Now' button and follow the instructions.
,If you have a disability / medical condition and require a copy of this advertisement and attached documentation in an accessible format or would like to discuss an access requirement / adjustment for the recruitment process, please contact hr.fsd@police.vic.gov.au.
, Victoria Police is a large organisation employing police, public servants and protective services officers. Victoria Police provides support to the community 24 hours a day, 365 days of the year.
,At Victoria Police our goal is for our workforce to reflect the diverse community we serve. We continually seek to attract and retain a diverse workforce which includes people of all genders, ages, religions, disability, sexual orientation, family and caring responsibilities and cultures including people of Aboriginal and Torres Strait Islander heritage.
,
Find out what it is like working as a Victorian Public Servant for Victoria Police: http://www.policecareer.vic.gov.au"
Business Intelligence Analyst,Melbourne VIC,None,CPA Australia,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><p></p><div><p><b>About Us
</b></p><p>CPA Australia is one of the world’s leading member service organisations, with over 163,000 members across 125 countries. Our core services to members include education, training, technical support and advocacy.
</p><p>Our core services to members include education, training, technical support and advocacy. Employees and members work together with local and international bodies to represent the views and concerns of the profession to governments, regulators, industries, academia and the general public.<br>
</p><p></p><p><b>About the Role?<br>
</b></p><p></p><p>Reporting to the Manager – Business Intelligence, this role is responsible for; Using data and a deep understanding of the business to understand and communicate industry and business insights to increase profits and efficiency.<br>
</p><p></p><ul><li>Define, develop and monitor the organisations key performance indicators
</li><li>Partnering with the business to provide analytical insight for product and process performance information to stakeholders
</li><li>Work with key business decision makers in leveraging information to enable better informed decisions
</li><li>Assist users in how to leverage the BI environment to improve self-service capabilities
</li><li>Leverage data and analytic skills/tools to advance business insights and opportunities
</li><li>Provide modelling and forecasting capabilities as requested by key stakeholders
</li><li>Act as a data steward to develop and oversee the implementation of initiatives which lead to increased data integrity
</li><li>Lead and oversee the validation of business process improvements
</li><li>Scan and retain external market information to compliment internal data and analysis
</li><li>Build and augment BI and analytic skills in-line with technology changes and improvements<br>
</li></ul><p></p><p>Please note we have <b>contract and permanent </b>options avaialable.<br>
</p><p></p><p><b>About You – </b>You will have:<br>
</p><p></p><ul><li>SQL querying skills
</li><li>Knowledge and experience in using BI Tools and techniques
</li><li>Advanced MS Excel, including use of PowerPivot, PowerQuery, Power BI, MS PowerPoint &amp; Word
</li><li>Excellent analytical skills and business acumen
</li><li>Ability to synthesise structured and unstructured data and present sound recommendations based on analysis
</li><li>Able to work in a team environment and individually<br>
</li></ul><p></p><p><b>What’s in it for me?<br>
</b><br>
</p><p>At CPA Australia people are at the heart of what we do. We promote and encourage an inclusive and diverse workplace where everyone can be their best.
</p><ul><li>Flexible working hours
</li><li>Paid parental, volunteer and study leave
</li><li>Annual incentive scheme
</li><li>Discounts on health insurance, phone plans, fuel, banking and many more
</li><li>Convenient Southbank location
</li><li>Learning &amp; Professional Development opportunities
</li><li>Become part of a well-known global brand and make global connections within a collaborative environment<br>
</li></ul><p></p><p><b>How do I Apply?<br>
</b></p><p></p><p>Click <b>Apply Now </b>to submit your application for this opportunity! Should you require more information on the role, feel free to contact the Recruitment Team on employment@cpaaustralia.com.au
</p><p>To learn more about CPA Australia and other opportunities, please visit our Careers page at https://www.cpaaustralia.com.au/about-us/careers</p></div></div>"
Senior Business Intelligence Data Analyst,Brisbane QLD,None,Queensland Government,"Metro South Health is Australia's first digital health service and the first health service in Australia to be recognised for excellence in person-centred care by Planetree International. It's also one of the largest in Queensland, with an estimated residential population of approximately one million people or 23 per cent of Queensland's population.
,This is your opportunity to join the dedicated team of professionals at Metro South Health and be part of a world-class, dynamic and growing health service that embraces technology, excellence in health care, teaching, research and empowering our people to be the best in serving our community.
,About the Role
,To support and enhance the existing Metro South Data and Analytics Service with a responsibility for undertaking requirements definition, data analysis and data visualisation development. The role will participate in the accurate delivery of data to various clinical units throughout the Health Service.
,
,
Find out about the role in more detail and how to apply in the attached Role Description.
,Benefits
,We offer rewarding career opportunities across a wide range of clinical and non-clinical areas across our health service and pride ourselves on providing a work environment that is safe, satisfying, flexible, and promotes a healthy work-life balance.
,As a Metro South employee you will benefit from a higher than standard employer contribution to Superannuation of up to 12.75%, access to salary packaging, flexible working arrangements and competitive salary rates with annual incremental increases.
,We are committed to providing a diverse and inclusive workplace for our people and our community. We encourage people of all genders, races, ages and abilities to apply for roles within our Health Service.
,You can find out more about why it's so great to work at Metro South here: www.metrosouth.health.qld.gov.au/join-our-team.This work is licensed under a Creative Commons Attribution 3.0 Australia License."
Business and Process Analyst,Mulgrave VIC,"$79,062 - $85,337 a year",Monash University,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><p></p><div><p><b>The Opportunity</b></p>
<p>
Financial Resources Management (FiRM) is responsible for managing the University's budgeting development and budget reporting processes. Providing quality advice and assistance across all budgeting, funds management and financial analysis.</p>
<p>
We are currently seeking a professional Business and Process Analyst to join our Mulgrave team. The focus of this role will be to provide a range of analytical support including supporting the effective use, maintenance and improvement of the University budgeting and forecasting system. The role will also maintain records and oversee work flow and processes.</p>
<p>
As the successful candidate, you will be responsible for providing a range of analytical support and administrative services, you will also need to undertake research and analysis to provide sound advice. This position will supporting business decisions around data analysis, will develop user friendly reports, and create presentations to stakeholders.</p>
<p>
If you have a strong commitment to excellence in customer service, a demonstrated ability to work as an effective team member - with highly developed information technology skills, then we look forward to hearing from you.<br>
<br>
If you believe you can fulfil these requirements, you are strongly encouraged to apply.<br>
<br>
This role is a full-time position; however, flexible working arrangements may be negotiated.</p>
<p>
At Monash University, we are committed to being a Child Safe organisation. Some positions at the University will require the incumbent to hold a valid Working with Children Check.</p>
<p>
The successful applicant will need to possess a current valid Police Check.</p>
<p>
Your application must address the selection criteria. Please refer to ""How to apply for Monash Jobs"".</p>
<p><b>
Enquiries</b></p>
<p>
Mr Michael Williamson, Management Accountant, +61 3 9905 0628</p>
<p><b>
Position Description</b></p>
<p>
 Business and Process Analyst</p>
<p><b>
Closing Date</b></p>
<p>
Friday 31 May 2019, 11:55 pm AEST</p>
<p><b>
Supporting a diverse workforce</b></p></div><div></div></div>"
Research Scientist - Data Integration,Melbourne VIC,"$98,000 - $106,000 a year",CSIRO,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><p></p><div><div><p><b>The Opportunity</b>
</p><p></p><ul><li>Immerse Yourself in an Inclusive Culture</li>
<li>Use your Skills and Make an Impact on Data Innovation Outcomes!</li>
<li>Join CSIRO’s Data61, the Digital Innovation Arm of Australia’s Largest Science Agency, the CSIRO.<br>
</li></ul><p></p><div>This position is with the Data-Driven Enterprises Group in the Analytics Program of Data61. The Group undertakes research and industry projects to support digitisation of government and private organisations to achieve better inference from large, complex datasets. The position will contribute to the Group’s goals by undertaking research into advanced statistical and machine learning methodologies to enhance the Group’s and Data61’s capabilities in these domains. In addition, the role will liaise and work with industry and the government to help improve their processing of large, complex datasets, and inference drawn from the data, so as to enhance business processes and decision making.</div>
<p></p><p><b>Your duties will include</b><br>
</p><p></p><ul><li>Incorporating novel approaches to scientific investigations by adapting and/or developing original concepts and ideas for new, existing and further research.
</li><li>Undertaking research into, and development of, advanced statistical and machine learning methodologies.</li>
<li>Communicating effectively and respectfully in the interests of good business practice, collaboration and enhancement of CSIRO’s reputation.</li>
<li>Producing high quality scientific and/or engineering papers suitable for publication in quality journals and for presentation at national and international conferences.</li>
<li>Working effectively as an integral member or leader of a multi-disciplinary, often regionally dispersed research team, to undertake independent scientific investigations and carry out/delegate associated tasks under broad guidance from more senior Research Scientists/Engineers.</li>
<li>Working collaboratively and honestly with internal and external colleagues, clients and partners to develop and progress challenging but realistic research plans for a range of research projects.</li><br>
</ul>
<p></p><p><b>Location: </b>Clayton, VIC (preferred), Docklands, VIC (negotiable)</p>
<p><b>Salary:</b> AU$98k - AU$106k plus up to 15.4% superannuation</p>
<p><b>Tenure: </b>Indefinite</p>
<p><b>Reference: </b>60967</p>
<p></p><p><b>To be successful you will need</b>
</p><p></p><ul><li>A doctorate or equivalent research experience in a relevant discipline, such as statistics, mathematics or machine learning.</li>
<li>Demonstrable experience in the analysis of large, complex datasets using statistics and machine learning.</li>
<li>Theoretical and practical understanding of statistical and machine learning techniques e.g. Bayesian methods, MCMC, support vector machines, gradient boosting, or deep learning.</li>
<li>Experience with programming languages such as R and Python, statistical and machine learning tools such as Stan, XGboost, Tensorflow, Theano or Keras and fluent with git and SQL.</li>
<li>Proven ability working effectively as a member of a multi-disciplinary, regionally dispersed research team, and experienced in carrying-out independent individual research, to achieve organisational goals.</li>
<li>A record of scientific publications at respected peer-reviewed journals and conferences, and/or patent filings in Australia, Europe or the USA.</li><br>
</ul>
<p></p><p>For details about who to contact and for more information please view the Position description</p><br>
<p></p>
<p><b>CSIRO’s Commitment to Diversity</b></p>
<p>We’re working hard to recruit diverse people and ensure all our people feel supported to do their best work and empowered to let their ideas flourish.</p>
<p></p><p><b>Flexible Working Arrangements</b><br>
</p><p></p><p>We work flexibly at CSIRO, offering a range of options for how, when and where you work. Talk to us about how this role could be flexible for you. Balance</p>
<p></p><p><b>About CSIRO</b><br>
</p><p></p><p>At CSIRO you can be part of helping to solve big, complex problems that make a real difference to our future. We spark off each other, learn from each other, trust each other and collaborate to achieve more than we could individually in a supportive, rewarding, inclusive and truly flexible environment.</p><br>
<p></p>
<p><b>Who we are</b></p><br>
<p></p>
<p>CSIRO’s Data61 business unit is the largest data innovation group in Australia, bringing together approximately 600 research and development staff working in digital technologies to create benefit for Australia. Data61 develops Australia's future leaders with its strong 300+ PhD student program in collaboration with our best universities across Australia.</p><br>
<p></p>
<p></p><p><b>Apply Online</b><br>
</p><p></p><p>To apply online, please provide a CV and cover letter outlining your suitability and motivation for the role.</p>
<p></p><p><b>Applications Close</b><br>
</p><p></p><p>23:00 AEST 14th June 2019</p></div></div><p></p></div>"
Business Intelligence Analyst,Melbourne VIC,None,Lander & Rogers,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div><div><div>Description
</div></div><br>
<div><div><p><b>ABOUT LANDERS</b></p>
<p>
Lander &amp; Rogers is a leading independent Australian law firm operating nationally from Melbourne, Sydney and Brisbane. We are proud to be the trusted advisor to many publicly listed and private Australian companies, Australian subsidiaries of global companies as well as all levels of government.</p>
<p>
We have nearly 500 staff nationally, seven broad areas of practice, and we cover a range of industry sectors, with a focus on financial services, insurance, government, infrastructure, real estate and retail and supply chain.</p>
<p>
Our firm believes that legal services are much more than just the law - they are about great people, sustained excellence and exceptional client service. We have a reputation in the legal market as a provider of premium legal services, and as a sought-after employer. We are renowned in Australia for our down-to-earth and friendly workplace culture.</p>
<p><b>
ABOUT THE ROLE</b></p>
<p>
This is an exciting opportunity for an experienced Business Intelligence Analyst to join our Innovation Hub (iHub) team based in Melbourne. This role will suit an individual who is a self-starter and is highly proactive.</p>
<p>
Your responsibilities will include:</p>
<ul>
<li>Work closely with members of the iHub and Finance teams to develop, extract and test complex reports from all systems, predominantly the practice management system (SQL database)</li>
<li>Undertake an audit of all SSRS reports currently run from the current practice management system and migrate to new SQL server</li>
<li>Working with data visualization tools to create user reporting stories</li>
<li>Experience in optimising dashboards with a focus on usability, performance, flexibility, testability, and standardisation</li>
<li>Work with iHub developers to maintain and enhance existing applications</li>
<li>Complement the firm's current and future innovation strategy through web-based application development</li>
</ul><p><b>ABOUT YOU</b></p>
<p>
The position would suit an enthusiastic Business Intelligence Analyst with experience in a similar role within a professional services environment. To be successful in the role, you will need to possess the following:</p>
<ul>
<li>Expert knowledge of Power BI, including prior experience developing and dashboards as well as scheduling and distributing reports.
</li><li>Expert knowledge of SQL, including the ability to develop report specifications and create and modify reports using SSRS 2008/2012.
</li><li>Knowledge and experience developing in one or more of the following is desirable: C#, .Net Framework, .Net Core, ASP.NET, HTML, CSS, JavsScript, JQuery
</li><li>Expert knowledge of Microsoft Office, Worksite</li>
<li>Ability to understand a client's reporting requirements and develop that into an easy to extract report that write reports from scratch and then test.</li>
<li>Understanding of and exposure to finance terminology.</li>
<li>Ability to identify skills and knowledge gaps and develop appropriate plans to transfer skills and knowledge.
</li><li>Logical and analytical thinker, approachable, flexible and works well with others in a respectful, collegiate and collaborative manner.</li>
<li>Excellent organisational skills, demonstrated time management and strong organisational skills to work effectively in a multi-disciplinary and dynamic environment.</li>
<li>Role model for behaviours in line with the firm’s core values and culture.</li>
<li>Works well with others in a respectful, collegiate and collaborative manner.</li>
<li>Proven ability to communicate effectively (varying style as appropriate to meet the needs of the audience) by building awareness, trust, collaboration and support across the firm.</li>
</ul><p>If you are interested in joining our Innovation Hub (iHub) team, please submit your CV by clicking the 'Apply' button.</p>
<p>
For more information about Lander &amp; Rogers please see our website, www.landers.com.au.</p></div></div></div></div>"
Artificial Intelligence- Virtual Assistant & NLP Data Scientist,Sydney NSW,"$110,000 - $150,000 a year",Accenture,"
,
"
Remote - Internet Analyst,Sydney NSW,$18.50 - $19.00 an hour,KarmaHub,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><p><b>Job Summary</b></p><p>Work part time remotely with flexible schedule and be a part of rapidly growing hub of experts working as an Internet analyst. As an Internet Analyst with KarmaHub, you will be contributing towards improving internet search relevance, mobile, speech and other data sciences . You will play an important part in improving the quality of all different and new services. We are looking for creative thinkers who enjoy browsing the internet and would like to express their opinion on the quality and content on the web.</p><p><b>Responsibilities and Duties</b></p><p>Reading and understanding the readiness guidelines.</p><p>Practicing on the tool. Attending readiness sessions if required.</p><p>Meet the committed hours with the highest quality.</p><p>Working on multiple projects independently</p><p><b>Qualifications and Skills</b></p><p>Strong reading and comprehension skills required.</p><p>Attention to detail, Fluency in English , both written and verbal</p><p>Must be able to read and understand materials in English.</p><p>Basic Internet surfing skills.</p><p>Job Types: Part-time, Contract</p><p>Salary: $18.50 to $19.00 /hour</p></div>"
Business Analyst/Data Analyst,Melbourne VIC,None,Teradata,"
204599
,
,
PS Sr Consultant (II)
,
,
, Business Analyst Location: Canberra and MelbourneType: Permanent or Contract The RoleThe Teradata Business Analyst role is a multi-faceted role active as part of end-to-end project delivery as well as in pre-sales cycles for business exploration.Teradata Business Analysts are responsible for the delivery of the business analytics workstream for Teradata services delivery and must have a deep understanding of the business domain as well as the fine points of the data arena: data warehousing, big data, data usage, tools and analytics, to extract the correct requirements from our clients.Key responsibilities / accountabilities: You must have high levels of self-motivation, excellent relationship management and the ability to communicate with both technical and business stakeholders in industry-appropriate terminology.On engagement, you will be responsible for the full business analytics workstream using Teradata methodologies and processes, including but not limited to - Skills, Knowledge & Experience: Demonstrate how you fulfil these requirements and provide examples where relevant/possible.M = Must haveS = Should have Personal qualities: Skills and Experience: Technical Competencies- Understanding and/or experience in the following: Benefits: By joining us you will have the opportunity for personal growth. You will be part of the Asia Pacific Business Analysis Practice within Teradata. The Practice provides access to training and career path progression. Qualifications: Application Process: Please apply with a 3-4 page (maximum) CV, 1-page (maximum) covering letter and your response to the selection criteria below. All documents should be titled: lastname_firstname_(name of document).We short-list candidates based upon the CV, cover letter and responses to the selection criteria. Ensure that these documents cover the points mentioned in the job description. Selection Criteria - Business Analyst RolePlease provide a brief response to the selection criteria below. Please keep your response to 500 words or less.Criteria 1Describe your experience and role with any of the following types of projects: · advanced analytics,· business intelligence,· data warehouse applications,· big data analytics. Response Criteria 2Describe your data analysis experience including: · data mapping and transformation rules specification.· understanding of data architectures (staging, integration and semantic layers)· Ability to understand relational and dimensional data models.Response Criteria 3Describe the information gathering and requirements elicitation techniques you have used for the analytic projects you have worked on.Response Criteria 4Describe experience and techniques used to communicate complex business requirements to technical team members and complex technical solutions to business team members. Include any challenges faced and how these were overcome.Response
,
,
,
Melbourne
,
,
Victoria
,
,
Business Analyst/Data Analyst
,
,
Consulting
,
,
With all the investments made in analytics, it’s time to stop buying into partial solutions that overpromise and underdeliver. It’s time to invest in answers. Only Teradata leverages all of the data, all of the time, so that customers can analyze anything, deploy anywhere, and deliver analytics that matter most to them. And we do it at scale, on-premises, in the Cloud, or anywhere in between. We call this Pervasive Data Intelligence. It’s the answer to the complexity, cost, and inadequacy of today’s analytics. And it's the way Teradata transforms how businesses work and people live through the power of data throughout the world. Join us and help create the era of Pervasive Data Intelligence.
,
,
Melbourne, Victoria AU"
Data Analyst,Melbourne VIC,None,Victorian Government,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div><div><div><div><div><div><div><div><div><b>Job posted:</b></div>
<p>09/05/2019</p>
</div><div><div><b>Applications close:</b></div>
<p>23/05/2019 (Midnight)</p> </div></div><div><b>6 days remaining
</b></div><p></p><div><div><div><p><b>Today</b></p></div></div></div></div>
</div></div></div></div><div><p>Job Description</p>
<div><p>Austin Health is the major provider of tertiary health services, health professional education and research across 3 campuses in the northeast of Melbourne and state-wide. Austin Health is world-renowned for its research and specialist work in cancer, liver transplantation, spinal cord injuries, neurology, endocrinology, mental health and rehabilitation.</p><br>
<p>
An exciting opportunity currently exists for an enthusiastic Data Analyst to join the Neuroscience Molecular Imaging Research team in the Department of Molecular Imaging &amp; Therapy.</p><br>
<p>
Details of Department</p><br>
<p>
The Austin Health Department of Molecular Imaging and Therapy has an active research team in the area of PET imaging in Dementia. It has extensive national and international links and performs both academic studies and scans to support therapy trials. It is the imaging co-ordination and image processing site for several national collaborative studies. The successful applicant will work with the dementia research team headed by Professor Christopher Rowe, Director of Molecular Imaging Research, to support the Acquisition, Archiving and Analysis of images required for the dementia research team. The dementia research group obtains or manages over 500 PET and MRI scans per year. The successful applicant will work with and be directly supervised by the senior computer scientist officer.</p><br>
<p>
Details of position/position requirements</p><br>
<p>
We are seeking a highly motivated Data Analyst who will provide support for data organization, reporting and analysis of the dementia PET research team studies under the direction of the computer sciences senior Officer. This includes system administration of the data management platform, for which software development or IT experience would be beneficial (in particular, python and other scripting), with other academic and commercial partners. The candidate will also work closely with world leading scientists in PET imaging for dementia and will be encouraged to get involved with the research and develop their own projects. Support will be provided to attend international conferences and to pursue higher academic qualifications such as a PhD.</p><br>
<p>
To be successful in this role you must demonstrate:</p><br>
<ul><li>
A Bachelor or Master in Science/ Computing Science, Information Technology, and/or Physics and/or related Engineering specialty.</li><br>
<li>
Proficiency in use of all OS (Linux, OS-X and Windows), python, R</li><br>
<li>
Proficiency in Database development and maintenance</li><br>
<li>
Basic statistical understanding</li><br>
<li>
Attention to detail</li><br>
</ul>
<p>
Work with us! Your reward is to work in a collaborative environment which will provide you with opportunities for ongoing training and development. Your benefits will include salary packaging, and employee assistance program.</p><br>
<p>
All appointments are made subject to a satisfactory National Police Check conducted by Austin Health and if required, a Working With Children Check.</p><br>
<p>
Austin Health is an equal opportunity employer and is committed to attracting and retaining a diverse workforce that reflects the community we serve. Applications from Aboriginal and Torres Strait Islanders are encouraged.</p></div></div></div></div>"
